
|                                                                                                                        :address |                                                                                        :address-c | :postal-c | :c | :score |                  :x |                 :y |                                  :id |
|                                                                                       Av. Dr. Oliveira Salazar 5110-122 ARMAMAR |                                         Avenida Doutor Oliveira Salazar, 5110-122, Armamar, Viseu |  5110-122 |  2 |    100 |  -7.689854820257475 |  41.10507411705227 | 3b79a161-8af9-3b64-83c3-66aec5238418 |
|                                                        Rua Francisco Xavier Ataíde de Oliveira, Lote 31, Loja D, 8600-775 LAGOS |                                 Rua Francisco Xavier Ataíde de Oliveira 31, 8600-775, Lagos, Faro |  8600-775 |  1 |    100 |   -8.68131003746825 |  37.10562001779006 | 3a051498-3977-3fb0-bf52-adac2f479ab0 |
|                                                                                        Rua de S. Tiago, 774 4590-064 CARVALHOSA |                              Rua de São Tiago 774, 4590-064, Carvalhosa, Paços de Ferreira, Porto |  4590-064 |  2 |    100 |  -8.364339986985698 |  41.29713998236559 | 1b5b61ca-bd8a-39f0-9505-02e6787be969 |
|                                                                                    Av. do Loureiro, 65, Loja 2, 4765-620 DELÃES |                           Avenida do Loureiro 65, 4765-620, Delães, Vila Nova de Famalicão, Braga |  4765-620 |  2 |    100 |  -8.417360254323116 | 41.385906172168966 | 21cb62bf-3dbd-34dc-b0af-4a55ed722000 |
|                                                                                    Rua Soldado Herói Milhões, 21 5090-136 MURÇA |                                          Rua Soldado Herói Milhões 21, 5090-136, Murça, Vila Real |  5090-136 |  2 |    100 |  -7.453349990515676 |  41.41031000828852 | 68107909-9851-3714-a8e8-138b8faa21c0 |
|                                                                              Avª General Humberto Delgado 3600-187 CASTRO DAIRE |                                   Avenida General Humberto Delgado, 3600-187, Castro Daire, Viseu |  3600-187 |  1 |    100 | -7.9333290223644966 |  40.90130095651663 | 5715d5b7-48af-3264-94f7-8114efb5ca7f |
|                                                                                           Praça da República, 64 4050-496 PORTO |                                                            Praça da República 64, 4050-496, Porto |  4050-496 |  2 |    100 |   -8.61347001447038 |  41.15401999147329 | 2992efee-820c-3d52-98e5-a1d5e2cf9890 |
|                                                                                   Rua 25 de Abril, 43 3220-185 MIRANDA DO CORVO |                                           Rua 25 de Abril 43, 3220-185, Miranda do Corvo, Coimbra |  3220-185 |  2 |    100 |   -8.32937282970722 | 40.090025553957865 | ec8f51bf-9fa8-353c-85c2-fde13ec2789f |
|                                                                  Rua Mouzinho de Albuquerque, 32 7200-390 REGUENGOS DE MONSARAZ |                            Rua Mouzinho de Albuquerque 32, 7200-390, Reguengos de Monsaraz, Évora |  7200-390 |  1 |    100 |  -7.537379994773005 |  38.42520998251868 | c1f6c863-735a-30ad-902d-67e31249e130 |
|                                                                                 Rua Dr. Afonso Cordeiro 154 4450-001 MATOSINHOS |                                       Rua Doutor Afonso Cordeiro 154, 4450-001, Matosinhos, Porto |  4450-001 |  2 |    100 |  -8.685869960433735 | 41.180900000585666 | da4ed34d-0ff2-35e8-ab53-b7e76f5e6e5f |
|                                                                         Rua José Diogo Oliveira Júnior, Lote 4; 2415-423 Leiria |                        Rua José Diogo de Oliveira Júnior 4, 2415-423, Gândara dos Olivais, Leiria |  2415-423 |  1 |    100 |  -8.824739991139978 |  39.76170000143429 | 38e392cf-f794-3969-8544-671f39fb2a67 |
|                                                                                       Rua S. João de Brito 4780-548 SANTO TIRSO |                                            Rua de São João de Brito, 4780-548, Santo Tirso, Porto |  4780-548 |  1 |    100 |  -8.476749139056055 |  41.34338989104687 | 8dfc78cb-46ae-355d-b1b2-eb0a9cb20d82 |
