
|  address | score |                   x |                  y |
| 2400-258 |   100 |  -8.803524975107734 |  39.74729498836558 |
| 2400-448 |   100 |  -8.814950012049962 |  39.73955983283912 |
| 2410-078 |   100 |  -8.798775034397295 | 39.732025004798516 |
| 2415-376 |   100 |  -8.792920023572151 |  39.75810500316226 |
| 2415-423 |   100 |  -8.825799966615534 |  39.76173000864776 |
| 2420-104 |   100 |  -8.705815034315833 |  39.74364001757641 |
| 2425-507 |   100 |   -8.83413501495221 |  39.85076501492921 |
| 2425-603 |   100 |   -8.83503497989608 | 39.890819992819274 |
| 2430-053 |   100 |  -8.923754994256342 |  39.75940998166783 |
| 2430-229 |   100 |  -8.930090036676347 | 39.743130020677654 |
| 2430-308 |   100 |   -8.93509000955845 |   39.7429050084869 |
| 2430-593 |   100 |  -8.912434982560683 |  39.87540998955984 |
| 2440-042 |   100 |  -8.825865010184089 |  39.65310498590253 |
| 2440-057 |   100 |  -8.818805016958493 |  39.66227001029176 |
| 2445-206 |   100 |   -9.00438496330952 | 39.665765012458905 |
| 2450-051 |   100 |  -8.999275019857691 | 39.626490012568695 |
| 2460-001 |   100 |  -8.981869997913918 |  39.55636001171382 |
| 2460-028 |   100 |  -8.975349966890747 |  39.54674500485271 |
| 2480-173 |   100 |  -8.839080002549622 |  39.60099498722752 |
| 2480-317 |   100 |  -8.818869976708072 |  39.59933000598079 |
| 2480-356 |   100 |  -8.899500029580338 |  39.60348998643633 |
| 2485-075 |   100 |  -8.713829977770274 |   39.5444699886927 |
| 2490-502 |   100 |  -8.579750037090719 | 39.658350003724195 |
| 2495-032 |   100 |  -8.718664994798019 |  39.62463501357695 |
| 2500-066 |   100 |  -9.133665007135619 |  39.41014001584165 |
| 2500-074 |   100 |   -9.14868001320798 |  39.40894500790586 |
| 2500-209 |   100 |  -9.134185020408665 |  39.39875001525451 |
| 2500-329 |   100 |  -9.145170007434274 |  39.40653500119538 |
| 2500-843 |   100 |  -9.146974966464086 |  39.41027500639228 |
| 2510-082 |   100 |  -9.155493243204148 |   39.3596803300826 |
| 2510-554 |   100 |  -9.228730038380604 |  39.32478001309778 |
| 2520-201 |   100 |    -9.3859000268327 | 39.356479993721734 |
| 2520-208 |   100 |  -9.373189960314505 |  39.35840498160496 |
| 2520-295 |   100 |  -9.388660019910276 |  39.36194000735975 |
| 2530-059 |   100 |   -9.31085860790256 |  39.27190646495302 |
| 2540-004 |   100 |  -9.161325036157507 |  39.27044998354768 |
| 2540-040 |   100 |  -9.162204968352796 |   39.2645699946512 |
| 2540-113 |   100 |   -9.15737003514414 |  39.26872000064179 |
| 2550-142 |   100 |  -9.104140004657268 |  39.24156498128633 |
| 2550-355 |   100 |  -9.088159990072256 |    39.228599979183 |
| 2550-429 |   100 |   -9.04979995873282 | 39.303284999590005 |
| 2560-127 |   100 |   -9.31865998046402 |  39.09060501916838 |
| 2560-194 |   100 |  -9.390179994232028 | 39.072080007322256 |
| 2560-230 |   100 |  -9.258540025566958 |   39.0939949960885 |
| 2560-324 |   100 |  -9.256365005511952 |  39.08575001130151 |
| 2580-010 |   100 |  -9.018805021894536 |  39.14414999966709 |
| 2580-289 |   100 |  -9.008269975431404 | 39.054875019497786 |
| 2580-497 |   100 |  -8.969789999057411 | 39.022339991770025 |
| 2580-531 |   100 |  -8.998834969940901 | 39.046649983640236 |
| 2590-041 |   100 |  -9.152284985944732 |  39.01997499587952 |
| 2590-430 |   100 |  -9.197539970836317 | 38.969270013724156 |
| 2600-100 |   100 |  -8.987389984069011 |  38.95731498904405 |
| 2600-180 |   100 |  -8.989704981907153 |    38.952704984207 |
| 2600-230 |   100 |  -8.986375019413572 | 38.956804992145294 |
| 2605-003 |   100 |  -9.228035010969222 |  38.80568501949574 |
| 2605-842 |   100 |  -9.229175033620209 |  38.80115501992458 |
| 2610-110 |   100 |  -9.212850019900486 |  38.73704498574932 |
| 2615-150 |   100 |   -9.03641003604804 |  38.89410500363181 |
| 2620-077 |   100 |  -9.162984988262338 |  38.80482499432043 |
| 2625-215 |   100 |   -9.07108496365646 |  38.86354001651682 |
| 2625-387 |   100 |  -9.058629958452002 |  38.86711498204028 |
| 2625-391 |   100 |  -9.059899984421122 |  38.87164498161144 |
| 2630-110 |   100 |  -9.082129965108834 |  38.97896498394152 |
| 2635-011 |   100 |  -9.345709974572856 |  38.76456000784634 |
| 2635-361 |   100 |  -9.330160035439803 |  38.78906999192634 |
| 2635-475 |   100 |  -9.320414983350929 |  38.76535498945293 |
| 2640-202 |   100 |  -9.398664994816613 |  39.05005500607666 |
| 2645-048 |   100 |   -9.41003001733219 |  38.73104999714121 |
| 2645-183 |   100 |  -9.414215017768697 |  38.71235998753116 |
| 2650-115 |   100 |  -9.215184966668062 |  38.76732498815625 |
| 2650-224 |   100 |  -9.223499982256214 |  38.76749501506225 |
| 2660-030 |   100 |  -9.154369984359619 |  38.81669498459286 |
| 2670-365 |   100 |  -9.170840005004266 | 38.839300013538264 |
| 2670-395 |   100 |  -9.159419997203827 |  38.83896498886821 |
| 2670-506 |   100 |  -9.190709977033805 |  38.83911498302558 |
| 2670-524 |   100 |  -9.172955010632506 |  38.82693000083185 |
| 2675-424 |   100 |  -9.182175020306374 |   38.7861250102456 |
| 2675-639 |   100 |  -9.191009965348542 | 38.787885000364724 |
| 2685-311 |   100 |  -9.119349973797455 |   38.7926449993592 |
| 2695-021 |   100 |  -9.101770021534435 |  38.80672001689982 |
| 2695-731 |   100 |   -9.09738502888814 |  38.82128001135845 |
| 2695-735 |   100 |  -9.100300003355528 |   38.8287899870561 |
| 2700-398 |   100 |  -9.231045036218575 | 38.761384984832944 |
