
|                                  :id |                                                                                       :address |              :concelho |                                   :k |
| 42a5c1c2-52f6-3e55-a306-af6da7dab0c0 |                   Avª Adelino Amaro da Costa, Edificio Vale do Lis, Lote 20-1º 2400-078 LEIRIA |                 Leiria |           batalhense-de-leiria-00872 |
| c8946fe1-1fcc-3723-8d06-4ee4454bdbfb |                                              Rua Conde de Rio Maior, n.º 15.3, 2784-501 OEIRAS |                 Oeiras |                    porto-salvo-01286 |
| 9b8b8d63-f388-30f7-841e-51dfbd847911 |                                          Av. Fernando Aroso, Nº 1028 4455-665 LEÇA da PALMEIRA |             Matosinhos |                         global-01150 |
| 098f1270-6e32-3d28-9f11-2507f42f0225 |                                        Lugar Pontido - Quinta da Botica 4730-470 VILA de PRADO |             Vila Verde |                    verde-minho-00599 |
| b626d387-0a24-36a7-8471-21946cd2151e |   Avª Marquês de Pombal, Lote 117 - Sº Domingos - Junto à rotunda c/a fonte, 2505-170 SANTARÉM |               Santarém |                       santarem-00201 |
| 4696761e-29aa-3a57-b583-1f84e4337852 |                                    Avª António José Gomes 54 –1º esqº 2800-338 COVA da PIEDADE |                 Almada |                    nova-almada-00978 |
| e14e227a-da94-389b-b05e-b2a20e2d6bf3 |                                    Rua Brites de Arrochela - Sobrado 4550-208 CASTELO DE PAIVA |       Castelo de Paiva |                     via-rapida-00882 |
| 32104b70-98c4-3f9c-8977-92b883f01b8a |                     Rua Dr. Rogério Braúlio Martins (Edifício Eubasto), N.º 18 Loja 16 Boticas |                Boticas |                    s-cristovao-00530 |
| 43b1e9cd-0bf8-327b-bdcb-aca4d602fe23 |                                  Avª dos Bombeiros Municipais nº 30 lote 3 r/c Esqº 8700 OLHÃO |                  Olhão |                    ria-formosa-00667 |
| 9b55aa64-3328-37cd-a13a-558ad85b496e |                                           Rua Albergaria dos Doze, n.ºs 55/57, 3010-456 POMBAL |                 Pombal |              clube-do-condutor-01370 |
| dcc60eb4-f982-37e5-b9f4-052f9f8973cf |                                                       Rua Manuel Peixoto, Nº 211 R/C Creixomil |              Guimarães |                         romana-01025 |
| 03a466df-780f-3c09-8696-79a459660753 |                                                  Largo Alípio Loureiro - Santana 2970 SESIMBRA |               Sesimbra |                      rodascity-00439 |
| 89723612-1f5f-364e-ac0e-fd32cf62ca49 |                    Avª D. João II, Edificio Gil Eanes, Lote 1,13,03, Fracção H 1900-123 LISBOA |                 Lisboa |                      nova-expo-01254 |
| fe4c5996-186a-320f-bfe8-210f853321d9 |                                             Avª Bombeiros Voluntários loja 8 J D 1675 PONTINHA |               Odivelas |            coimbra-da-pontinha-00493 |
| 3592f53a-9ed7-3408-bbe4-64fce1921fd4 |                                                    Lugar da Areia, lote 14-r/c 4900-119 DARQUE |       Viana do Castelo |             santa-luzia-darque-00917 |
| de0c73d7-483a-3e62-8a71-9b2b4e9a6ebc |                                             Urbanização Nova Moita, lote 7 r/c Esqº 2860 MOITA |                  Moita |                     nova-moita-00915 |
| 923cd579-9862-312d-9468-87ac4cc8dc92 |                     Rua Eleutério Teixeira – Urb. Jardins D´ Água Lt 27 2825 MONTE DA CAPARICA |                 Almada |             madalena-e-fonseca-01060 |
| 93931828-b627-389f-b467-227ed7c31c67 |                        Rua Professor Egas Moniz,Nº 8-A-Bairro de S. Lourenço 2670-003 CAMARATE |                 Loures |                          atlas-00871 |
| 880f6bf7-2b7f-3f9f-8cec-7c6416c3f592 |                                              Lugar de Quintã 4610-270 MARGARIDE(SANTA EULÁLIA) |             Felgueiras |                      margaride-00820 |
| 593bb178-21cd-3ce3-9c0f-e317357384df |                                  Estrada Nacional nº 11, nº 219 r/c 2835-024 BAIXA DA BANHEIRA |                  Moita |                       alem-rio-00190 |
| 05a3a564-2c22-3c53-a951-5ecd223e883f |                                                        Lugar da Pereira Azeda 4560-021 ABRAGÃO |               Penafiel |                    abragonense-01096 |
| 59adedad-a16e-334c-9cbd-093a8e730858 |                                                            Avenida Elias Garcia n.º 313 loja A |                Amadora |                          apolo-00323 |
| dea4d14c-afc9-3799-87ed-5f70b801613d |                                                 Av. da Boa Viagem, Lugar de Ponte Nova, Nº 704 |               Penafiel |                  ideal-de-rans-01190 |
| b780e95a-4c4a-3cb6-89c0-287311e007ac |                                          Av. General Norton de Matos, n.º 30-32 r/c Esq. Tomar |                  Tomar |                  nova-de-tomar-01349 |
| f174ec49-b25f-3b8b-82cd-a10a50433ab9 |                                                 Praceta António Gonçalves, Nº 1 2845-549 AMORA |                 Seixal |                       topdrive-01259 |
| 6bb65a6a-0b22-3bbd-813b-7b111d83f694 |                                    Lugar de Lamoso-Urbanizaçâo Lameu 4625-110 S.PAIO de FAVÕES |     Marco de Canavezes |                           ariz-01154 |
