
|                                  :id |                                                                                       :address |              :concelho |                                   :k |
| 43b1e9cd-0bf8-327b-bdcb-aca4d602fe23 |                                  Avª dos Bombeiros Municipais nº 30 lote 3 r/c Esqº 8700 OLHÃO |                  Olhão |                    ria-formosa-00667 |
| 3b34efb2-a4a9-3d68-8cf3-7911800244d4 |                                                       Avª Beato Nuno, Nº 111 e 113 2495 FÁTIMA |                  Ourém |                         fatima-00613 |
| 098f1270-6e32-3d28-9f11-2507f42f0225 |                                        Lugar Pontido - Quinta da Botica 4730-470 VILA de PRADO |             Vila Verde |                    verde-minho-00599 |
| 1cd0898e-0cc2-32ea-a279-8440c41b9ea2 |                                                              Rua 21, n.º 410; 4520-258 Espinho |                Espinho |           a-desportiva-espinho-00463 |
| 03a466df-780f-3c09-8696-79a459660753 |                                                  Largo Alípio Loureiro - Santana 2970 SESIMBRA |               Sesimbra |                      rodascity-00439 |
| 6e2ecea2-0665-351a-b75f-b60369f7b8c8 |                                                    Urb. Quinta do Adro 2240 FERREIRA DO ZÊZERE |     Ferreira do Zêzere |             ferreira-do-zezere-00437 |
| 90fc3e36-060e-3854-add0-313109170e88 |                              Lugar de Pevidem -Rua da Fonte da Venda;Nº 691 r/c 4810-320 SELHO |              Guimarães |                      pevidense-00432 |
| 00cbaa05-25d5-318f-b2af-c0c5d692e4df |                                                        Rua do Colégio, nº 4 6260-000 MANTEIGAS |              Manteigas |                      manteigas-00335 |
| 59adedad-a16e-334c-9cbd-093a8e730858 |                                                            Avenida Elias Garcia n.º 313 loja A |                Amadora |                          apolo-00323 |
| f015f139-10ab-3d72-91a2-d7d115e1875d |                                           Estrada Nacional - Currelos 3430-000 CARREGAL DO SAL |        Carregal do Sal |  automobilista-carregal-do-sal-00311 |
| 893a9595-f658-3aa9-a789-8432e516a8eb | Urbanização Quinta do Alto, Lote 20, Fracção A Cave Semi-enterrada Direita - 8400-142 ESTOMBAR |                  Lagoa |                    calipolense-00249 |
| b626d387-0a24-36a7-8471-21946cd2151e |   Avª Marquês de Pombal, Lote 117 - Sº Domingos - Junto à rotunda c/a fonte, 2505-170 SANTARÉM |               Santarém |                       santarem-00201 |
| 593bb178-21cd-3ce3-9c0f-e317357384df |                                  Estrada Nacional nº 11, nº 219 r/c 2835-024 BAIXA DA BANHEIRA |                  Moita |                       alem-rio-00190 |
